,Title,Certificate,Episode_runtime,Genre,IMDb,Star1,Star2,Star3,Star4,Votes,Start_year,End_year,Series_runtime,New_cert
1214,The Hitchhiker's Guide to the Galaxy,NA,152,"Adventure, Comedy, Sci-Fi",8.0,Simon Jones,David Dixon,Peter Jones,Sandra Dickinson,10209,1981,1981.0,1.0,MG6
1215,She-Ra and the Princesses of Power,13,30,"Animation, Adventure, Action",7.8,Aimee Carrero,Marcus Scribner,Karen Fukuhara,AJ Michalka,10200,2018,2020.0,3.0,6
1216,Wayne,A,30,"Comedy, Action",8.4,Mark McKenna,Ciara Bravo,Joshua J. Williams,Stephen Kearin,10196,2019,2019.0,1.0,TV-MA
1217,Fate/Zero,16,24,"Animation, Drama, Action",8.3,Ayako Kawasumi,Kari Wahlgren,Sayaka Ôhara,Jôji Nakata,10190,2011,2012.0,2.0,9
1218,Giri/Haji,18,7h 41m,"Mystery, Drama, Crime",7.9,Takehiro Hira,Sophia Brown,Charlie Creed-Miles,Jamie Draven,10181,2019,2019.0,1.0,16
1219,Terriers,NA,45,"Drama, Crime, Comedy",8.4,Donal Logue,Michael Raymond-James,Laura Allen,Kimberly Quinn,10179,2010,2010.0,1.0,12
1220,The Twilight Zone,NA,45,"Fantasy, Drama, Horror",7.8,Robin Ward,Charles Aidman,Richard Mulligan,William Atherton,10169,1985,1989.0,5.0,TV-PG
1221,Inspector Morse,NA,100,"Mystery, Drama, Crime",8.1,John Thaw,Kevin Whately,James Grout,Peter Woodthorpe,10163,1987,2000.0,14.0,12
1222,Utopia,16,55,"Mystery, Drama, Action",6.7,John Cusack,Ashleigh LaThrop,Dan Byrd,Desmin Borges,10160,2020,2020.0,1.0,16
1223,The League of Gentlemen,NA,60,"Horror, Comedy",8.4,Mark Gatiss,Steve Pemberton,Reece Shearsmith,Jeremy Dyson,10157,1999,2017.0,19.0,12
1224,Popeye the Sailor,NA,30,"Family, Animation, Comedy",7.1,Jack Mercer,Mae Questel,Jackson Beck,NA,10151,1960,1962.0,3.0,TV-G
1225,24: Legacy,NA,41,"Drama, Crime, Action",6.2,Corey Hawkins,Miranda Otto,Anna Diop,Teddy Sears,10145,2016,2017.0,2.0,12
1226,Copper,NA,42,"Drama, Action",7.5,Tom Weston-Jones,Kyle Schmid,Anastasia Griffith,Ato Essandoh,10144,2012,2013.0,2.0,16
1227,Rubicon,NA,45,"Mystery, Drama, Crime",7.9,James Badge Dale,Jessica Collins,Lauren Hodges,Dallas Roberts,10141,2010,2010.0,1.0,TV-14
1228,Hellcats,NA,60,"Drama, Comedy",6.7,Aly Michalka,Ashley Tisdale,Robbie Jones,Heather Hemmens,10140,2010,2011.0,2.0,TV-14
1229,Crossing Jordan,NA,60,"Mystery, Drama, Crime",6.9,Jill Hennessy,Miguel Ferrer,Ravi Kapoor,Steve Valentine,10123,2001,2007.0,7.0,6
1230,"Dr. Quinn, Medicine Woman",NA,60,"Family, Drama, Western",6.7,Jane Seymour,Joe Lando,Shawn Toovey,Chad Allen,10122,1993,1998.0,6.0,TV-G
1231,Airwolf,NA,60,"Adventure, Action, Sci-Fi",6.7,Jan-Michael Vincent,Alex Cord,Ernest Borgnine,Jean Bruce Scott,10120,1984,1986.0,3.0,6
1232,When Calls the Heart,13,43,"Romance, Drama",8.2,Erin Krakow,Martin Cummins,Pascale Hutton,Jack Wagner,10112,2014,,,6
1233,Containment,NA,60,Drama,7.2,David Gyasi,Christina Moses,Chris Wood,Claudia Black,10101,2016,2016.0,1.0,TV-14
1234,Ramy,18,30,"Romance, Drama, Comedy",8.1,Ramy Youssef,Amr Waked,Mohammed Amer,Hiam Abbass,10095,2019,,,18
1235,L'amica geniale,NA,60,Drama,8.6,Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,10091,2018,,,12
1236,Project Blue Book,NA,45,"Mystery, Drama, Sci-Fi",7.6,Aidan Gillen,Michael Malarkey,Laura Mennell,Ksenia Solo,10090,2019,2020.0,2.0,TV-14
1237,Project Runway,NA,60,"Reality-TV, Game-Show",7.3,Nina Garcia,Tim Gunn,Heidi Klum,Michael Kors,10067,2004,,,TV-PG
1238,Garfield and Friends,NA,30,"Family, Animation, Comedy",7.3,Lorenzo Music,Thom Huge,Gregg Berger,Howard Morris,10057,1988,1995.0,8.0,TV-G
1239,The Tonight Show with Jay Leno,NA,62,"Talk-Show, Comedy, Music",5.2,Jay Leno,Kevin Eubanks,Edd Hall,John Melendez,10034,1992,2014.0,23.0,TV-14
1240,Millennium,NA,45,"Drama, Crime, Horror",8.0,Lance Henriksen,Megan Gallagher,Terry O'Quinn,Brittany Tiplady,10025,1996,1999.0,4.0,TV-14
1241,The Batman,NA,30,"Animation, Adventure, Action",7.3,Rino Romano,Alastair Duncan,Evan Sabara,Danielle Judovits,10019,2004,2008.0,5.0,12
1242,JoJo no kimyô-na bôken,18,30,"Animation, Adventure, Action",8.4,Matthew Mercer,Unshô Ishizuka,Daisuke Ono,Fuminori Komatsu,10015,2012,,,16
1243,American Dragon: Jake Long,NA,30,"Comedy, Animation, Action",6.6,Dante Basco,Charlie Finn,kittie KaBoom,Keone Young,10012,2005,2007.0,3.0,6
1244,Aladdin,NA,30,"Animation, Adventure, Action",7.3,Scott Weinger,Linda Larkin,Dan Castellaneta,Frank Welker,10010,1994,1995.0,2.0,9
1245,Big Time Rush,NA,25,"Musical, Family, Comedy",6.3,Kendall Schmidt,James Maslow,Carlos PenaVega,Logan Henderson,10006,2009,2013.0,5.0,AL
1246,Dallas,NA,42,"Romance, Drama",7.1,Josh Henderson,Jesse Metcalfe,Jordana Brewster,Julie Gonzalo,9994,2012,2014.0,3.0,NA
1247,Jane by Design,NA,44,"Drama, Comedy",7.3,Nick Roux,Rowly Dennis,Erica Dasher,David Clayton Rogers,9991,2012,2012.0,1.0,NA
1248,Samantha Who?,NA,22,"Mystery, Romance, Comedy",7.3,Christina Applegate,Jennifer Esposito,Kevin Dunn,Melissa McCarthy,9977,2007,2009.0,3.0,6
1249,Wolverine and the X-Men,NA,23,"Animation, Adventure, Action",8.0,Steve Blum,Jim Ward,Nolan North,Fred Tatasciore,9977,2008,2009.0,2.0,TV-Y7
1250,Criminal Justice,15+,50,"Mystery, Drama, Crime",8.1,Vikrant Massey,Pankaj Tripathi,Rucha Inamdar,Jagat Rawat,9965,2019,,,NA
1251,So You Think You Can Dance,NA,60,"Reality-TV, Game-Show, Music",6.8,Nigel Lythgoe,Cat Deeley,Mark Thompson,Mary Murphy,9958,2005,,,TV-PG
1252,The Frankenstein Chronicles,18,48,"Fantasy, Drama, Crime",7.3,Sean Bean,Richie Campbell,Tom Ward,Ryan Sampson,9938,2015,2017.0,3.0,12
1253,Celebrity Deathmatch,NA,25,"Comedy, Animation, Action",6.9,Maurice Schlafer,Len Maxwell,Mills Lane,André Sogliuzzo,9938,1998,2007.0,10.0,6
1254,Lucky Louie,NA,30,Comedy,7.9,Louis C.K.,Pamela Adlon,Mike Hagerty,Laura Kightlinger,9898,2006,2007.0,2.0,TV-MA
1255,Grantchester,NA,45,"Mystery, Drama, Crime",7.9,Robson Green,Tessa Peake-Jones,Al Weaver,Kacey Ainsworth,9857,2014,,,9
1256,A.P. Bio,NA,21,Comedy,7.3,Glenn Howerton,Aparna Brielle,Nick Peine,Jean Villepique,9843,2018,,,TV-14
1257,Mork & Mindy,NA,30,"Family, Comedy, Sci-Fi",7.2,Robin Williams,Pam Dawber,Ralph James,Conrad Janis,9841,1978,1982.0,5.0,NA
1258,MADtv,NA,60,"Reality-TV, Talk-Show, Comedy",7.2,Michael McDonald,Debra Wilson,Aries Spears,Bobby Lee,9829,1995,2016.0,22.0,TV-14
1259,Outnumbered,NA,30,"Drama, Comedy",8.0,Hugh Dennis,Claire Skinner,Tyger Drew-Honey,Daniel Roche,9826,2007,2016.0,10.0,TV-14
1260,The Bold Type,NA,45,Drama,8.0,Katie Stevens,Aisha Dee,Meghann Fahy,Melora Hardin,9811,2017,,,12
1261,Freud,18,55,"Biography, Crime, History",6.5,Robert Finster,Ella Rumpf,Georg Friedrich,Christoph F. Krutzler,9801,2020,,,16
1262,Life on Mars,NA,60,"Mystery, Drama, Crime",7.4,Jason O'Mara,Michael Imperioli,Gretchen Mol,Jonathan Murphy,9800,2008,2009.0,2.0,12
1263,Dave,15+,30,Comedy,8.4,Dave Burd,Taylor Misiak,Gata,Andrew Santino,9792,2020,,,NA
1264,Çukur,NA,120,"Thriller, Crime, Action",7.3,Aras Bulut Iynemli,Riza Kocaoglu,Kubilay Aka,Kadir Çermik,9790,2017,,,TV-14
1265,Wu Assassins,16+,44,"Drama, Crime, Action",6.4,Iko Uwais,Byron Mann,Li Jun Li,Lawrence Kao,9789,2019,,,16
1266,"Yes, Prime Minister",NA,30,Comedy,8.6,Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,9776,1986,1987.0,2.0,TV-PG
1267,Red Oaks,NA,30,"Sport, Drama, Comedy",7.9,Craig Roberts,Ennis Esmer,Oliver Cooper,Richard Kind,9767,2014,2017.0,4.0,TV-MA
1268,Shades of Blue,NA,60,"Drama, Crime, Action",7.0,Jennifer Lopez,Ray Liotta,Drea de Matteo,Dayo Okeniyi,9728,2016,2018.0,3.0,12
1269,The Guild,NA,4,"Short, Comedy",8.2,Felicia Day,Sandeep Parikh,Jeff Lewis,Robin Thorsen,9705,2007,2013.0,7.0,TV-14
1270,Surface,NA,60,"Mystery, Adventure, Drama",7.2,Lake Bell,Jay R. Ferguson,Carter Jenkins,Leighton Meester,9695,2005,2006.0,2.0,16
1271,Adventures of the Gummi Bears,NA,30,"Fantasy, Animation, Family",7.5,June Foray,Noelle North,Lorenzo Music,Katie Leigh,9690,1985,1991.0,7.0,TV-Y
1272,Good Behavior,NA,60,"Mystery, Drama, Crime",8.1,Michelle Dockery,Juan Diego Botto,Terry Kinney,Lusia Strus,9689,2016,2017.0,2.0,TV-MA
1273,Big Brother,NA,44,"Reality-TV, Game-Show",5.4,Julie Chen Moonves,Clayton Halsey,Phil Proctor,Nicole Franzel,9679,2000,,,TV-MA
1274,Diff'rent Strokes,NA,30,"Family, Drama, Comedy",6.7,Gary Coleman,Todd Bridges,Conrad Bain,Dana Plato,9659,1978,1986.0,9.0,TV-14
1275,Brass Eye,NA,25,Comedy,8.6,Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,9647,1997,2001.0,5.0,TV-MA
1276,Defying Gravity,NA,60,"Drama, Sci-Fi",7.3,Ron Livingston,Malik Yoba,Andrew Airlie,Paula Garcés,9637,2009,2009.0,1.0,TV-14
1277,Heartland,16,45,"Family, Drama",8.4,Amber Marshall,Shaun Johnston,Michelle Morgan,Graham Wardle,9636,2007,,,AL
1278,Ano hi mita hana no namae o bokutachi wa mada shiranai.,NA,23,"Animation, Drama, Adventure",8.2,Miyu Irino,Ai Kayano,Haruka Tomatsu,Takahiro Sakurai,9622,2011,2011.0,1.0,TV-PG
1279,Ancient Aliens,NA,42,"Fantasy, Documentary, History",7.3,Robert Clotworthy,Giorgio A. Tsoukalos,David Childress,William Henry,9620,2009,,,9
1280,In Living Color,NA,30,Comedy,8.1,Keenen Ivory Wayans,Jim Carrey,Kelly Coffield Park,David Alan Grier,9605,1990,2006.0,17.0,TV-14
1281,Hostages,NA,42,"Mystery, Drama, Thriller",6.7,Toni Collette,Tate Donovan,Rhys Coiro,Sandrine Holt,9598,2013,2014.0,2.0,12
1282,The Wilds,16,1.0,"Mystery, Adventure, Drama",7.2,Rachel Griffiths,Sophia Ali,Shannon Berry,Jenna Clause,9592,2020,,,16
1283,Hercules,NA,30,"Animation, Adventure, Action",6.6,Tate Donovan,French Stewart,Sandra Bernhard,Robert Costanzo,9582,1998,1999.0,2.0,AL
1284,Saikojiman Gwaenchanha,13,70,"Romance, Drama, Comedy",8.7,Kim Soo-Hyun,Seo Ye-Ji,Oh Jeong-Se,Park Gyuyoung,9580,2020,2020.0,1.0,12
1285,The Six Million Dollar Man,NA,60,"Adventure, Crime, Action",7.1,Lee Majors,Richard Anderson,Martin E. Brooks,Lindsay Wagner,9562,1974,1978.0,5.0,TV-14
1286,Dokutaa Sutoon,13,23,"Animation, Adventure, Action",8.2,Yûsuke Kobayashi,Manami Numakura,Gen Satô,Ayumu Murase,9561,2019,,,TV-14
1287,Stargirl,PG,566,"Adventure, Crime, Action",7.3,Brec Bassinger,Yvette Monreal,Anjelika Washington,Trae Romano,9560,2020,,,16
1288,Man Seeking Woman,NA,21,"Fantasy, Romance, Comedy",7.8,Jay Baruchel,Eric André,Britt Lower,Robin Duke,9549,2015,2017.0,3.0,9
1289,The Little Drummer Girl,NA,55,"Drama, Thriller",7.4,Simona Brown,Gennady Fleyscher,Clare Holman,Daniel Litman,9542,2018,2018.0,1.0,16
1290,Taken,16,41,"Drama, Thriller, Action",6.6,Clive Standen,Jennifer Beals,Adam Goldberg,Jessica Camacho,9527,2017,2018.0,2.0,12
1291,The Bugs Bunny/Road Runner Hour,NA,55,"Animation, Comedy",8.5,Mel Blanc,Jim Backus,Bea Benaderet,Julie Bennett,9521,1968,1978.0,11.0,TV-G
1292,Dragons: Riders of Berk,NA,22,"Animation, Adventure, Action",8.0,Jay Baruchel,Christopher Mintz-Plasse,T.J. Miller,America Ferrera,9515,2012,2014.0,3.0,6
1293,Jinn,16,30,"Fantasy, Drama, Horror",3.5,Salma Malhas,Sultan Alkhail,Hamzeh Okab,Aysha Shahaltough,9506,2019,,,PG-13
1294,The Hour,NA,60,Drama,8.0,Romola Garai,Ben Whishaw,Dominic West,Anna Chancellor,9488,2011,2012.0,2.0,16
1295,Austin & Ally,NA,30,"Family, Drama, Comedy",6.0,Ross Lynch,Laura Marano,Raini Rodriguez,Calum Worthy,9469,2011,2016.0,6.0,NA
1296,Enaaya,NA,25,Drama,8.5,Mehwish Hayat,Azfar Rehman,Asad Siddiqui,Faryal Mehmood,9461,2019,,,NA
1297,The Dresden Files,NA,60,"Drama, Crime, Action",7.7,Paul Blackthorne,Valerie Cruz,Terrence Mann,Raoul Bhaneja,9450,2007,2008.0,2.0,TV-14
1298,Miracle Workers,NA,22,"Fantasy, Drama, Comedy",7.0,Daniel Radcliffe,Geraldine Viswanathan,Karan Soni,Steve Buscemi,9426,2019,,,AL
1299,Red Band Society,NA,43,"Drama, Comedy",7.9,Octavia Spencer,Dave Annable,Astro,Ciara Bravo,9421,2014,2015.0,2.0,TV-14
1300,Gran Hotel,18,60,"Mystery, Drama, Crime",8.4,Adriana Ozores,Amaia Salamanca,Yon González,Eloy Azorín,9416,2011,2013.0,3.0,TV-14
1301,Senke nad Balkanom,18,60,"Drama, Thriller, Crime",9.0,Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,9400,2017,,,TV-MA
1302,Party of Five,NA,60,"Family, Drama",6.8,Matthew Fox,Scott Wolf,Neve Campbell,Lacey Chabert,9398,1994,2000.0,7.0,9
1303,White Gold,NA,30,Comedy,7.4,Ed Westwick,James Buckley,Joe Thomas,Linzey Cocker,9384,2017,2019.0,3.0,12
1304,Make It or Break It,NA,45,"Sport, Drama",7.5,Ayla Kell,Josie Loren,Cassandra Scerbo,Candace Cameron Bure,9378,2009,2012.0,4.0,TV-14
1305,Brave New World,NA,6h 55m,"Drama, Sci-Fi",7.1,Alden Ehrenreich,Jessica Brown Findlay,Harry Lloyd,Nina Sosanya,9376,2020,2020.0,1.0,15
1306,Missing,NA,60,"Drama, Thriller, Action",6.9,Ashley Judd,Cliff Curtis,Adriano Giannini,Nick Eversman,9369,2012,2012.0,1.0,PG-13
1307,Eli Stone,NA,60,"Fantasy, Drama, Comedy",7.6,Jonny Lee Miller,Natasha Henstridge,Loretta Devine,Matt Letscher,9367,2008,2009.0,2.0,AL
1308,Ugly Americans,NA,30,"Fantasy, Animation, Comedy",8.0,Matt Oberg,Natasha Leggero,Kurt Metzger,Randy Pearlstein,9346,2010,2012.0,3.0,TV-MA
1309,You Me Her,18,28,"Romance, Drama, Comedy",7.0,Greg Poehler,Rachel Blanchard,Priscilla Faia,Melanie Papalia,9323,2016,,,6
1310,Twisted,NA,60,"Mystery, Drama, Thriller",7.3,Avan Jogia,Maddie Hasson,Ashton Moio,Kimberly Quinn,9318,2013,2014.0,2.0,16
1311,Vera,NA,90,"Mystery, Drama, Crime",7.9,Brenda Blethyn,Jon Morrison,Riley Jones,Kenny Doughty,9296,2011,,,12
1312,Dancing with the Stars,NA,60,"Family, Game-Show, Music",4.7,Carrie Ann Inaba,Bruno Tonioli,Tom Bergeron,Len Goodman,9273,2005,,,TV-PG
1313,Home Movies,NA,30,"Animation, Drama, Comedy",8.1,Brendon Small,H. Jon Benjamin,Melissa Bardin Galsky,Ron Lynch,9273,1999,2004.0,6.0,TV-14
1314,Taz-Mania,NA,30,"Family, Animation, Comedy",6.8,Jim Cummings,Rob Paulsen,Maurice LaMarche,Miriam Flynn,9265,1991,1995.0,5.0,TV-Y
1315,The Yogi Bear Show,NA,30,"Family, Animation, Comedy",6.6,Daws Butler,Don Messick,Jimmy Weldon,Vance Colvig Jr.,9251,1961,1988.0,28.0,TV-G
1316,American Crime,NA,43,"Drama, Crime",7.8,Felicity Huffman,Regina King,Timothy Hutton,Richard Cabral,9246,2015,2017.0,3.0,12
1317,Tae-yang-eui hoo-ye,16,60,"Comedy, Drama, Action",8.3,Song Joong-Ki,Song Hye-Kyo,Jin Goo,Kim Ji-Won,9218,2016,2016.0,1.0,TV-14
1318,Seinto Seiya,NA,24,"Animation, Adventure, Action",8.5,Hideyuki Tanaka,Tôru Furuya,Ryô Horikawa,Kôichi Hashimoto,9209,1986,1989.0,4.0,TV-PG
1319,Drunk History,NA,22,"History, Comedy",7.8,Derek Waters,Bennie Arthur,Craig Cackowski,Maria Blasucci,9204,2013,2019.0,7.0,6
1320,Channel Zero,NA,44,"Fantasy, Drama, Crime",7.2,Brandon Scott,Marina Stephenson Kerr,Abigail Pniowsky,Diana Bentley,9203,2016,2018.0,3.0,16
1321,Fi,NA,60,"Romance, Drama",7.8,Ozan Güven,Serenay Sarikaya,Mehmet Günsür,Berrak Tüzünataç,9182,2017,2018.0,2.0,NA
1322,Kenny vs. Spenny,NA,22,"Reality-TV, Game-Show, Comedy",7.9,Kenny Hotz,Spencer Rice,Sebastian Cluer,Tzafi Hotz,9175,2002,,,TV-MA
1323,Backstrom,NA,44,"Drama, Crime, Comedy",7.4,Rainn Wilson,Genevieve Angelson,Kristoffer Polaha,Page Kennedy,9166,2015,2015.0,1.0,16
1324,The Road Runner Show,NA,30,"Comedy, Animation, Family",8.0,Mel Blanc,June Foray,Paul Julian,Bea Benaderet,9138,1966,1973.0,8.0,TV-G
1325,Up All Night,NA,22,Comedy,6.5,Christina Applegate,Maya Rudolph,Will Arnett,Jennifer Hall,9115,2011,2012.0,2.0,TV-14
1326,La Femme Nikita,NA,60,"Romance, Drama, Action",7.5,Peta Wilson,Don Francks,Eugene Robert Glazer,Roy Dupuis,9115,1997,2001.0,5.0,12
1327,Ashes to Ashes,NA,60,"Fantasy, Drama, Crime",8.2,Philip Glenister,Keeley Hawes,Dean Andrews,Marshall Lancaster,9111,2008,2010.0,3.0,12
1328,The Love Boat,NA,60,"Romance, Drama, Comedy",6.1,Gavin MacLeod,Bernie Kopell,Ted Lange,Fred Grandy,9106,1977,1987.0,11.0,AL
1329,Being Erica,NA,45,"Adventure, Drama, Comedy",7.5,Erin Karpluk,Reagan Pasternak,Michael Riley,Kathleen Laskey,9103,2009,2011.0,3.0,12
1330,"Roswell, New Mexico",NA,45,"Romance, Drama, Sci-Fi",6.2,Jeanine Mason,Nathan Parsons,Michael Vlamis,Lily Cowles,9055,2019,,,TV-14
1331,Deadman Wonderland,16,24,"Animation, Drama, Action",7.2,Greg Ayres,Kana Hanazawa,Romi Pak,Monica Rial,9055,2011,2011.0,1.0,TV-MA
1332,Chance,NA,60,"Mystery, Drama, Thriller",7.7,Hugh Laurie,Ethan Suplee,Greta Lee,Stefania LaVie Owen,9053,2016,2017.0,2.0,TV-MA
1333,Timon & Pumbaa,NA,22,"Animation, Adventure, Comedy",7.1,Ernie Sabella,Kevin Schon,Jim Cummings,Jeff Bennett,9053,1995,1999.0,5.0,NA
1334,America's Got Talent,NA,60,"Family, Game-Show, Music",5.8,Howie Mandel,Nick Cannon,Heidi Klum,Sharon Osbourne,9050,2006,,,TV-PG
1335,Scooby-Doo! Mystery Incorporated,NA,23,"Animation, Adventure, Comedy",8.0,Frank Welker,Mindy Cohn,Grey Griffin,Matthew Lillard,9047,2010,2013.0,4.0,TV-Y7-FV
1336,Clannad: After Story,NA,24,"Animation, Drama, Comedy",8.6,Yûichi Nakamura,David Matranga,Luci Christian,Mai Nakahara,9030,2008,2009.0,2.0,TV-MA
1337,Magnum P.I.,NA,43,"Adventure, Crime, Action",5.8,Jay Hernandez,Perdita Weeks,Zachary Knighton,Stephen Hill,9026,2018,,,12
1338,Kkotboda namja,13,70,"Romance, Drama, Comedy",7.9,Ku Hye-Sun,Lee Min-Ho,Kim Hyun-joong,Kim Bum,9023,2009,2009.0,1.0,TV-14
1339,Kuzey Güney,NA,90,Drama,7.6,Kivanç Tatlitug,Bugra Gülsoy,Öykü Karayel,Mustafa Avkiran,9012,2011,2013.0,3.0,TV-MA
1340,Third Watch,NA,44,"Drama, Crime, Action",7.9,Coby Bell,Skipp Sudduth,Jason Wiles,Molly Price,9000,1999,2005.0,7.0,12
1341,Impulse,A,50,"Drama, Action, Sci-Fi",7.5,Maddie Hasson,Sarah Desjardins,Enuka Okuma,Craig Arnold,8991,2018,2019.0,2.0,TV-MA
1342,A Bit of Fry and Laurie,NA,30,Comedy,8.3,Stephen Fry,Hugh Laurie,Deborah Norton,Geoffrey McGivern,8991,1987,1995.0,9.0,TV-PG
1343,Journeyman,NA,45,"Fantasy, Romance, Sci-Fi",8.0,Kevin McKidd,Gretchen Egolf,Moon Bloodgood,Reed Diamond,8978,2007,2007.0,1.0,6
1344,Byeol-e-seo on geu-dae,16,60,"Fantasy, Drama, Comedy",8.2,Jun Ji-Hyun,Kim Soo-Hyun,Park Hae-Jin,Yoo In-Na,8972,2013,2014.0,2.0,Not Rated
1345,Knight Rider,NA,60,"Mystery, Adventure, Thriller",5.6,Justin Bruening,Deanna Russo,Paul Campbell,Smith Cho,8969,2008,2009.0,2.0,MG6
1346,The Nostalgia Critic,NA,TV-MATV-MA,"Fantasy, Comedy",7.7,Doug Walker,Malcolm Ray,Rob Walker,Tamara Chambers,8931,2007,,,TV-MA
1347,Epidemiya,18,48.0,"Drama, Thriller, Sci-Fi",7.3,Kirill Käro,Maryana Spivak,Aleksandr Robak,Viktoriya Isakova,8909,2019,2019.0,1.0,16
1348,The Crossing,NA,42,"Adventure, Drama, Sci-Fi",7.2,Steve Zahn,Natalie Martinez,Tommy Bastow,Rob Campbell,8904,2018,2018.0,1.0,TV-PG
1349,Disjointed,NA,30,Comedy,6.8,Kathy Bates,Aaron Moten,Elizabeth Alderfer,Tone Bell,8901,2017,2018.0,2.0,16
1350,Pennyworth,NA,60,"Drama, Crime, Action",7.9,Jack Bannon,Hainsley Lloyd Bennett,Ryan Fletcher,Dorothy Atkinson,8898,2019,,,16
1351,Red vs. Blue,NA,6,"Short, Animation, Action",8.3,Gus Sorola,Burnie Burns,Geoff Ramsey,Jason Saldaña,8885,2003,,,6
1352,Sweet Home,18,52,"Fantasy, Drama, Horror",7.4,Song Kang,Jin-wook Lee,Lee Si-young,Lee Do-Hyun,8850,2020,,,16
1353,The Adventures of Pete & Pete,NA,30,"Drama, Comedy",8.3,Michael C. Maronna,Danny Tamberelli,Judy Grafe,Alison Fanelli,8850,1992,1996.0,5.0,TV-Y
1354,Mythic Quest: Raven's Banquet,A,30,Comedy,7.6,Rob McElhenney,Charlotte Nicdao,Ashly Burch,Jessie Ennis,8842,2020,,,12
1355,Storage Wars,NA,22,Reality-TV,6.4,Brandi Passante,Jarrod Schulz,Laura Dotson,Dan Dotson,8840,2010,,,AL
1356,Stumptown,NA,44,"Drama, Crime",7.5,Cobie Smulders,Jake Johnson,Tantoo Cardinal,Cole Sibus,8836,2019,2020.0,2.0,12
1357,El Chavo del Ocho,UA,30,"Family, Crime, Comedy",8.6,Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños,María Antonieta de las Nieves,8824,1972,1983.0,12.0,6
1358,The Tick,NA,30,"Animation, Adventure, Action",7.8,Townsend Coleman,Micky Dolenz,Rob Paulsen,Cam Clarke,8821,1994,1997.0,4.0,14
1359,Totally Spies!,NA,22,"Animation, Adventure, Action",7.0,Janice Kawaye,Charlie Schlatter,Andrea Baker,Jennifer Hale,8815,2001,2014.0,14.0,6
1360,Umbre,NA,45,"Drama, Thriller, Crime",8.8,Serban Pavlu,Maria Obretin,Andreea Vasile,Madalina Craiu,8813,2014,,,TV-MA
1361,Raising Dion,13+,50,"Drama, Sci-Fi",7.2,Alisha Wainwright,Ja'Siah Young,Jason Ritter,Sammi Haney,8809,2019,,,9
1362,My Life as a Teenage Robot,NA,23,"Animation, Adventure, Action",6.9,Janice Kawaye,Chad Doreck,Candi Milo,Audrey Wasilewski,8803,2003,2009.0,7.0,AL
1363,The Mysteries of Laura,NA,42,"Mystery, Crime, Comedy",6.8,Debra Messing,Laz Alonso,Josh Lucas,Janina Gavankar,8794,2014,2016.0,3.0,12
1364,The Dick Van Dyke Show,NA,30,"Family, Comedy",8.3,Dick Van Dyke,Mary Tyler Moore,Rose Marie,Morey Amsterdam,8788,1961,1966.0,6.0,9
1365,Joan of Arcadia,NA,60,"Drama, Crime, Comedy",7.0,Amber Tamblyn,Joe Mantegna,Mary Steenburgen,Jason Ritter,8785,2003,2005.0,3.0,TV-PG
1366,Crime Scene: The Vanishing at the Cecil Hotel,16,219,"Mystery, Documentary, Crime",5.9,Tim Marcia,Josh Dean,Amy Price,Greg Kading,8772,2021,2021.0,1.0,12
1367,My Family,NA,50,Comedy,7.5,Robert Lindsay,Zoë Wanamaker,Gabriel Thomson,Daniela Denby-Ashe,8761,2000,2011.0,12.0,12
1368,The Messengers,NA,60,"Fantasy, Drama, Mystery",6.5,Shantel VanSanten,Diogo Morgado,JD Pardo,Joel Courtney,8751,2015,2015.0,1.0,TV-14
1369,Ask 101,16,40,"Romance, Drama, Comedy",7.5,Kubilay Aka,Mert Yazicioglu,Alina Boz,Selahattin Pasali,8743,2020,,,12
1370,Solar Opposites,NA,181,"Animation, Comedy, Sci-Fi",8.0,Justin Roiland,Thomas Middleditch,Sean Giambrone,Mary Mack,8741,2020,,,16
1371,Man with a Plan,All,30,Comedy,7.0,Matt LeBlanc,Liza Snyder,Matt Cook,Grace Kaufman,8721,2016,2020.0,5.0,AL
1372,Kevin Can Wait,NA,30,Comedy,5.6,Kevin James,Taylor Spreitler,Ryan Cartwright,Gary Valentine,8716,2016,2018.0,3.0,AL
1373,Gentleman Jack,NA,60,"Biography, Drama, History",8.2,Suranne Jones,Sophie Rundle,Rosie Cavaliero,Albane Courtois,8712,2019,,,12
1374,Bard of Blood,16+,45,"Adventure, Drama, Action",6.8,Emraan Hashmi,Sobhita Dhulipala,Jaideep Ahlawat,Shishir Sharma,8711,2019,,,TV-MA
1375,Kim's Convenience,16,22,Comedy,8.2,Paul Sun-Hyung Lee,Jean Yoon,Andrea Bang,Simu Liu,8710,2016,,,6
1376,Truth Seekers,16,223,"Fantasy, Drama, Comedy",7.1,Nick Frost,Malcolm McDowell,Samson Kayo,Susan Wokoma,8702,2020,2020.0,1.0,16
1377,Inside Edge,18+,45,"Sport, Drama",8.0,Richa Chadha,Angad Bedi,Tanuj Virwani,Sayani Gupta,8699,2017,,,TV-MA
